Season,Part,Round,Date,Time,Venue,Attendance,Referee1,Referee2,Referee3,H_Team,A_Team,H_Team_ID,A_Team_ID,H_Score,A_Score,H_Q1,H_Q2,H_Q3,H_Q4,H_OT_1,H_OT_2,H_OT_3,H_OT_4,A_Q1,A_Q2,A_Q3,A_Q4,A_OT_1,A_OT_2,A_OT_3,A_OT_4,H_2FG_M,H_2FG_A,H_3FG_M,H_3FG_A,H_FT_M,H_FT_A,H_REB_O,H_REB_D,H_REB_T,H_ASS,H_ST,H_TO,H_BLC_FV,H_BLC_AG,H_FLS_CM,H_FLS_RV,H_PIR,A_2FG_A,A_2FG_M,A_3FG_A,A_3FG_M,A_FT_A,A_FT_M,A_REB_O,A_REB_D,A_REB_T,A_ASS,A_ST,A_TO,A_BLC_FV,A_BLC_AG,A_FLS_CM,A_FLS_RV,A_PIR
2021/22,Regular,1.0,2021/09/24,18:00,Topolica Sport Hall Bar,1000.0,Uroš Nikolić,Milivoje Jovčić,Uroš Obrknežević,Mornar-Barsko zlato,Cibona,MOR,CIB,77,87,16.0,16.0,27.0,18.0,,,,,28.0,23.0,16.0,20.0,,,,,13.0,34.0,11.0,31.0,18.0,22.0,13.0,7.0,20.0,16.0,12.0,10.0,1.0,8.0,18.0,19.0,64.0,33.0,42.0,5.0,15.0,6.0,10.0,25.0,6.0,31.0,25.0,8.0,18.0,8.0,1.0,19.0,17.0,115.0
2021/22,Regular,1.0,2021/09/24,20:00,Dvorana Aleksandar Nikolić,2476.0,Milan Nedović,Denis Hadžić,Stefan Ćalić,Crvena zvezda mts,Split,CZV,SPL,97,61,22.0,31.0,22.0,22.0,,,,,16.0,12.0,13.0,20.0,,,,,30.0,43.0,10.0,20.0,7.0,9.0,26.0,7.0,33.0,29.0,13.0,14.0,4.0,0.0,21.0,19.0,135.0,16.0,34.0,5.0,21.0,14.0,16.0,15.0,8.0,23.0,12.0,12.0,21.0,0.0,4.0,19.0,21.0,49.0
2021/22,Regular,1.0,2021/09/25,17:00,Sports Hall Laktasi,700.0,Miloš Koljenšić,Igor Dragojević,Radoš Savović,Igokea m:tel,Borac,IGO,BOR,91,89,21.0,26.0,19.0,25.0,,,,,15.0,27.0,31.0,16.0,,,,,21.0,38.0,11.0,24.0,16.0,25.0,21.0,7.0,28.0,21.0,9.0,11.0,3.0,0.0,14.0,22.0,110.0,20.0,40.0,13.0,31.0,10.0,13.0,21.0,10.0,31.0,25.0,3.0,13.0,0.0,3.0,22.0,14.0,83.0
2021/22,Regular,1.0,2021/09/25,21:00,Arena Stožice,1000.0,Ilija Belošević,Marko Juras,Krunoslav Peić,Cedevita Olimpija,Krka,COL,KRK,88,56,18.0,26.0,27.0,17.0,,,,,15.0,12.0,9.0,20.0,,,,,26.0,37.0,7.0,24.0,15.0,20.0,26.0,9.0,35.0,22.0,7.0,7.0,2.0,1.0,18.0,24.0,119.0,11.0,31.0,9.0,29.0,7.0,12.0,17.0,11.0,28.0,11.0,5.0,14.0,1.0,2.0,24.0,18.0,34.0
2021/22,Regular,1.0,2021/09/26,12:00,Hala sportova Ranko Žeravica,450.0,Tomislav Hordov,Luka Kardum,Tomislav Vovk,Mega Mozzart,SC Derby,MEG,SCD,101,68,23.0,28.0,28.0,22.0,,,,,21.0,6.0,20.0,21.0,,,,,19.0,33.0,18.0,30.0,9.0,16.0,30.0,7.0,37.0,34.0,10.0,21.0,8.0,0.0,18.0,21.0,139.0,18.0,39.0,7.0,24.0,11.0,21.0,21.0,6.0,27.0,13.0,12.0,17.0,0.0,8.0,21.0,18.0,44.0
2021/22,Regular,1.0,2021/09/26,19:00,Sportski centar Morača,1.0,Josip Radojković,Bojan Kruljac,Tomislav Stapić,Budućnost VOLI,FMP Meridian,BUD,FMP,82,72,26.0,20.0,18.0,18.0,,,,,20.0,17.0,22.0,13.0,,,,,19.0,34.0,5.0,17.0,29.0,41.0,22.0,10.0,32.0,11.0,11.0,15.0,3.0,1.0,24.0,32.0,92.0,17.0,31.0,8.0,23.0,14.0,21.0,18.0,5.0,23.0,15.0,7.0,17.0,1.0,3.0,32.0,24.0,54.0
2021/22,Regular,1.0,2021/09/27,18:00,Dvorana Krešimir Ćosić,1.0,Matej Boltauzer,Damir Javor,Edo Javor,Zadar,Partizan NIS,ZAD,PAR,73,78,21.0,13.0,20.0,19.0,,,,,21.0,21.0,18.0,18.0,,,,,18.0,32.0,8.0,23.0,13.0,18.0,19.0,10.0,29.0,21.0,4.0,15.0,2.0,3.0,19.0,23.0,81.0,19.0,34.0,10.0,27.0,10.0,14.0,17.0,12.0,29.0,12.0,6.0,11.0,3.0,2.0,23.0,19.0,75.0
2021/22,Regular,2.0,2021/09/30,16:30,Mala dvorana KK Split,1000.0,Igor Dragojević,Miloš Koljenšić,Ernad Karović,Split,Partizan NIS,SPL,PAR,59,69,15.0,9.0,19.0,16.0,,,,,17.0,21.0,15.0,16.0,,,,,16.0,32.0,7.0,37.0,6.0,10.0,19.0,12.0,31.0,19.0,8.0,7.0,2.0,1.0,21.0,16.0,56.0,18.0,37.0,8.0,18.0,9.0,15.0,32.0,7.0,39.0,19.0,3.0,15.0,1.0,2.0,16.0,21.0,84.0
2021/22,Regular,2.0,2021/10/01,18:00,Sportski centar Morača,100.0,Uroš Nikolić,Radoš Arsenijević,Ivan Stefanović,SC Derby,Zadar,SCD,ZAD,94,78,17.0,26.0,28.0,23.0,,,,,20.0,21.0,20.0,17.0,,,,,19.0,43.0,17.0,30.0,5.0,7.0,30.0,11.0,41.0,21.0,6.0,14.0,5.0,3.0,25.0,17.0,103.0,21.0,46.0,7.0,24.0,15.0,23.0,22.0,11.0,33.0,17.0,11.0,11.0,3.0,5.0,17.0,25.0,84.0
2021/22,Regular,2.0,2021/10/01,20:00,Košarkaška dvorana FMP,682.0,Uroš Obrknežević,Dragan Porobić,Aleksandar Milojević,FMP Meridian,Igokea m:tel,FMP,IGO,89,81,29.0,17.0,21.0,22.0,,,,,23.0,15.0,22.0,21.0,,,,,16.0,35.0,12.0,31.0,21.0,23.0,20.0,13.0,33.0,20.0,7.0,13.0,1.0,5.0,25.0,24.0,91.0,18.0,36.0,10.0,23.0,15.0,22.0,24.0,8.0,32.0,22.0,6.0,15.0,5.0,1.0,24.0,24.0,92.0
2021/22,Regular,2.0,2021/10/02,17:00,ŠD Leona Štuklja Novo Mesto,300.0,Josip Radojković,Marko Juras,Marko Pecelj,Krka,Mornar-Barsko zlato,KRK,MOR,89,80,25.0,20.0,21.0,23.0,,,,,28.0,10.0,16.0,26.0,,,,,16.0,29.0,14.0,21.0,15.0,18.0,26.0,5.0,31.0,17.0,5.0,18.0,2.0,2.0,27.0,22.0,96.0,19.0,32.0,9.0,24.0,15.0,24.0,15.0,3.0,18.0,18.0,7.0,11.0,2.0,2.0,22.0,27.0,80.0
2021/22,Regular,2.0,2021/10/03,19:00,Dvorana Borac,1000.0,Tomislav Hordov,Denis Hadžić,Gordan Terlević,Borac,Cedevita Olimpija,BOR,COL,76,85,12.0,22.0,14.0,28.0,,,,,24.0,20.0,24.0,17.0,,,,,14.0,44.0,11.0,27.0,15.0,22.0,20.0,12.0,32.0,14.0,10.0,12.0,0.0,1.0,20.0,22.0,68.0,27.0,43.0,7.0,24.0,10.0,13.0,34.0,11.0,45.0,17.0,7.0,17.0,1.0,0.0,22.0,20.0,100.0
2021/22,Regular,2.0,2021/10/04,18:00,Košarkaški centar Dražen Petrović,500.0,Saša Pukl,Matej Boltauzer,Matej Špendl,Cibona,Mega Mozzart,CIB,MEG,89,84,19.0,14.0,26.0,19.0,11.0,,,,22.0,25.0,14.0,17.0,6.0,,,,23.0,51.0,8.0,25.0,19.0,25.0,35.0,11.0,46.0,14.0,4.0,13.0,4.0,4.0,23.0,24.0,90.0,16.0,40.0,12.0,28.0,16.0,27.0,27.0,8.0,35.0,25.0,4.0,10.0,4.0,4.0,25.0,23.0,85.0
2021/22,Regular,2.0,2021/10/04,21:00,Dvorana Aleksandar Nikolić,3947.0,Damir Javor,Mario Majkić,Luka Kardum,Crvena zvezda mts,Budućnost VOLI,CZV,BUD,71,63,19.0,18.0,8.0,26.0,,,,,14.0,15.0,18.0,16.0,,,,,19.0,38.0,8.0,24.0,9.0,13.0,26.0,8.0,34.0,20.0,5.0,17.0,0.0,1.0,25.0,22.0,70.0,18.0,43.0,4.0,14.0,15.0,21.0,22.0,8.0,30.0,12.0,11.0,14.0,1.0,0.0,22.0,25.0,65.0
2021/22,Regular,3.0,2021/10/08,20:00,Dvorana Krešimir Ćosić,500.0,Marko Juras,Radoš Arsenijević,Ivan Stefanović,Zadar,Cibona,ZAD,CIB,67,68,18.0,17.0,13.0,19.0,,,,,14.0,20.0,13.0,21.0,,,,,13.0,28.0,8.0,23.0,17.0,28.0,23.0,11.0,34.0,16.0,5.0,18.0,1.0,4.0,19.0,26.0,67.0,20.0,35.0,6.0,24.0,10.0,14.0,20.0,6.0,26.0,14.0,9.0,11.0,4.0,1.0,26.0,19.0,65.0
2021/22,Regular,3.0,2021/10/09,17:00,Topolica Sport Hall Bar,400.0,Denis Hadžić,Tomislav Vovk,Nermin Nikšić,Mornar-Barsko zlato,Borac,MOR,BOR,85,90,22.0,15.0,18.0,30.0,,,,,23.0,22.0,15.0,30.0,,,,,17.0,35.0,14.0,28.0,9.0,16.0,18.0,7.0,25.0,13.0,6.0,10.0,6.0,3.0,26.0,18.0,75.0,17.0,37.0,12.0,25.0,20.0,24.0,25.0,16.0,41.0,18.0,4.0,17.0,3.0,6.0,18.0,26.0,104.0
2021/22,Regular,3.0,2021/10/09,19:00,Štark Arena,5283.0,Saša Pukl,Matej Špendl,Marko Mustapić,Partizan NIS,SC Derby,PAR,SCD,79,57,20.0,17.0,24.0,18.0,,,,,9.0,14.0,21.0,13.0,,,,,22.0,32.0,7.0,21.0,14.0,19.0,33.0,6.0,39.0,18.0,6.0,21.0,5.0,2.0,17.0,24.0,102.0,14.0,41.0,7.0,27.0,8.0,12.0,18.0,12.0,30.0,14.0,12.0,11.0,2.0,5.0,24.0,17.0,41.0
2021/22,Regular,3.0,2021/10/10,12:00,Hala sportova Ranko Žeravica,300.0,Damir Javor,Milan Nedović,Vladimir Vesković,Mega Mozzart,Krka,MEG,KRK,73,72,20.0,16.0,18.0,13.0,6.0,,,,17.0,16.0,16.0,18.0,5.0,,,,20.0,42.0,5.0,20.0,18.0,29.0,24.0,10.0,34.0,15.0,6.0,15.0,5.0,3.0,23.0,30.0,74.0,14.0,42.0,10.0,28.0,14.0,19.0,31.0,10.0,41.0,14.0,8.0,15.0,3.0,5.0,30.0,23.0,60.0
2021/22,Regular,3.0,2021/10/10,17:00,Sportski centar Morača,100.0,Uroš Nikolić,Sašo Petek,Edo Javor,Budućnost VOLI,Split,BUD,SPL,75,66,23.0,21.0,16.0,15.0,,,,,18.0,20.0,20.0,8.0,,,,,24.0,41.0,4.0,19.0,15.0,17.0,21.0,9.0,30.0,19.0,8.0,9.0,1.0,2.0,17.0,17.0,88.0,17.0,36.0,8.0,25.0,8.0,13.0,16.0,11.0,27.0,13.0,3.0,12.0,2.0,1.0,17.0,17.0,57.0
2021/22,Regular,3.0,2021/10/10,19:00,Sports Hall Laktasi,800.0,Tomislav Hordov,Josip Radojković,Krunoslav Peić,Igokea m:tel,Crvena zvezda mts,IGO,CZV,75,68,21.0,23.0,10.0,21.0,,,,,14.0,8.0,22.0,24.0,,,,,20.0,38.0,8.0,19.0,11.0,17.0,21.0,8.0,29.0,23.0,12.0,12.0,2.0,1.0,19.0,18.0,92.0,22.0,39.0,6.0,21.0,6.0,10.0,19.0,7.0,26.0,15.0,5.0,15.0,1.0,2.0,18.0,19.0,63.0
2021/22,Regular,3.0,2021/10/11,18:00,Arena Stožice,1000.0,Milivoje Jovčić,Mario Majkić,Ernad Karović,Cedevita Olimpija,FMP Meridian,COL,FMP,89,92,18.0,23.0,22.0,14.0,12.0,,,,18.0,16.0,20.0,23.0,15.0,,,,23.0,45.0,7.0,29.0,22.0,32.0,24.0,13.0,37.0,9.0,6.0,14.0,4.0,0.0,29.0,26.0,74.0,26.0,47.0,5.0,22.0,25.0,33.0,29.0,6.0,35.0,18.0,8.0,14.0,0.0,4.0,26.0,29.0,92.0
2021/22,Regular,4.0,2021/10/15,19:00,Košarkaški centar Dražen Petrović,2000.0,Milan Nedović,Matej Špendl,Dragan Porobić,Cibona,Partizan NIS,CIB,PAR,61,79,11.0,26.0,13.0,11.0,,,,,22.0,19.0,16.0,22.0,,,,,20.0,43.0,4.0,23.0,9.0,10.0,24.0,13.0,37.0,13.0,6.0,15.0,2.0,3.0,19.0,19.0,58.0,18.0,40.0,11.0,23.0,10.0,14.0,22.0,8.0,30.0,20.0,8.0,12.0,3.0,2.0,19.0,19.0,88.0
2021/22,Regular,4.0,2021/10/16,19:00,Sportski centar Morača,100.0,Milivoje Jovčić,Mario Majkić,Marko Juras,Budućnost VOLI,Igokea m:tel,BUD,IGO,81,68,12.0,27.0,20.0,22.0,,,,,24.0,10.0,13.0,21.0,,,,,23.0,40.0,6.0,12.0,17.0,22.0,25.0,7.0,32.0,13.0,4.0,11.0,0.0,4.0,15.0,22.0,94.0,18.0,43.0,9.0,22.0,5.0,9.0,18.0,9.0,27.0,16.0,6.0,9.0,4.0,0.0,22.0,15.0,63.0
2021/22,Regular,4.0,2021/10/17,12:00,Mala dvorana KK Split,300.0,Ilija Belošević,Aleksandar Milojević,Tomislav Stapić,Split,SC Derby,SPL,SCD,94,101,18.0,13.0,24.0,18.0,10.0,11.0,,,21.0,20.0,13.0,19.0,10.0,18.0,,,15.0,27.0,12.0,38.0,28.0,36.0,29.0,7.0,36.0,23.0,5.0,20.0,4.0,1.0,32.0,32.0,95.0,29.0,50.0,7.0,31.0,22.0,28.0,25.0,10.0,35.0,23.0,6.0,8.0,1.0,4.0,32.0,32.0,103.0
2021/22,Regular,4.0,2021/10/17,17:00,ŠD Leona Štuklja Novo Mesto,400.0,Uroš Obrknežević,Tomislav Vovk,Radoš Savović,Krka,Zadar,KRK,ZAD,80,66,25.0,22.0,17.0,16.0,,,,,20.0,17.0,13.0,16.0,,,,,23.0,37.0,9.0,29.0,7.0,9.0,24.0,16.0,40.0,9.0,4.0,13.0,4.0,2.0,23.0,17.0,80.0,17.0,33.0,7.0,24.0,11.0,14.0,13.0,5.0,18.0,18.0,9.0,5.0,2.0,4.0,17.0,23.0,74.0
2021/22,Regular,4.0,2021/10/17,18:00,Dvorana Borac,1000.0,Sašo Petek,Luka Kardum,Krunoslav Peić,Borac,Mega Mozzart,BOR,MEG,80,68,13.0,29.0,18.0,20.0,,,,,18.0,14.0,24.0,12.0,,,,,16.0,37.0,14.0,30.0,6.0,14.0,29.0,8.0,37.0,14.0,9.0,14.0,2.0,4.0,19.0,20.0,80.0,23.0,46.0,5.0,19.0,7.0,11.0,24.0,7.0,31.0,16.0,5.0,14.0,4.0,2.0,20.0,19.0,66.0
2021/22,Regular,4.0,2021/10/17,19:00,Košarkaška dvorana FMP,600.0,Saša Pukl,Bojan Kruljac,Gordan Terlević,FMP Meridian,Mornar-Barsko zlato,FMP,MOR,83,81,20.0,21.0,19.0,23.0,,,,,27.0,14.0,21.0,19.0,,,,,25.0,49.0,3.0,15.0,24.0,27.0,23.0,15.0,38.0,13.0,7.0,17.0,3.0,7.0,19.0,24.0,86.0,20.0,40.0,11.0,26.0,8.0,14.0,15.0,7.0,22.0,17.0,7.0,13.0,7.0,3.0,24.0,19.0,72.0
2021/22,Regular,4.0,2021/10/17,21:00,Dvorana Aleksandar Nikolić,4345.0,Tomislav Hordov,Miloš Koljenšić,Igor Dragojević,Crvena zvezda mts,Cedevita Olimpija,CZV,COL,79,64,17.0,23.0,16.0,23.0,,,,,24.0,15.0,16.0,9.0,,,,,17.0,40.0,9.0,33.0,18.0,26.0,25.0,20.0,45.0,15.0,11.0,13.0,2.0,2.0,22.0,29.0,89.0,11.0,25.0,9.0,28.0,15.0,18.0,27.0,6.0,33.0,14.0,4.0,21.0,2.0,2.0,29.0,21.0,50.0
2021/22,Regular,5.0,2021/10/22,18:00,Sports Hall Laktasi,600.0,Igor Dragojević,Radoš Arsenijević,Marko Pecelj,Igokea m:tel,Split,IGO,SPL,85,67,18.0,22.0,24.0,21.0,,,,,20.0,15.0,13.0,19.0,,,,,24.0,43.0,9.0,21.0,10.0,19.0,29.0,13.0,42.0,27.0,9.0,14.0,2.0,1.0,21.0,18.0,107.0,21.0,37.0,5.0,22.0,10.0,19.0,20.0,6.0,26.0,13.0,4.0,14.0,1.0,2.0,18.0,21.0,56.0
2021/22,Regular,5.0,2021/10/22,20:00,Dvorana Krešimir Ćosić,300.0,Saša Pukl,Dragan Porobić,Ernad Karović,Zadar,Borac,ZAD,BOR,70,56,20.0,14.0,10.0,26.0,,,,,10.0,15.0,16.0,15.0,,,,,21.0,38.0,4.0,24.0,16.0,18.0,32.0,11.0,43.0,13.0,10.0,15.0,4.0,1.0,17.0,21.0,89.0,11.0,31.0,8.0,27.0,10.0,13.0,23.0,7.0,30.0,7.0,10.0,17.0,1.0,4.0,21.0,17.0,37.0
2021/22,Regular,5.0,2021/10/23,19:00,Dvorana Aleksandar Nikolić,3321.0,Sašo Petek,Ivan Stefanović,Edo Javor,Partizan NIS,Krka,PAR,KRK,92,45,18.0,25.0,21.0,28.0,,,,,11.0,17.0,6.0,11.0,,,,,19.0,32.0,15.0,30.0,9.0,11.0,27.0,8.0,35.0,18.0,9.0,14.0,9.0,0.0,15.0,21.0,125.0,12.0,35.0,4.0,20.0,9.0,15.0,17.0,8.0,25.0,12.0,6.0,21.0,0.0,9.0,21.0,14.0,6.0
